grau,nome,cidade,código,conceito,situação,siglaIes,modalidade,idPrograma,idModalidade,programaEmRede,idAreaAvaliacao,nomeAreaAvaliacao,idAreaConhecimento,nomeAreaConhecimento,idModalidadeEnsino,nomeModalidadeEnsino,idGrandeAreaConhecimento,nomeGrandeAreaConhecimento
Mestrado Profissional,DESENVOLVIMENTO E GESTÃO SOCIAL,salvador,28001010055P1,3,EM FUNCIONAMENTO,UFBA,PROFISSIONAL,202541,2,0,45,INTERDISCIPLINAR,428,"SOCIAIS, CULTURAS E HUMANIDADES",1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado Profissional,"Currículo, linguagens e inovações pedagógicas.",salvador,28001010091P8,3,EM FUNCIONAMENTO,UFBA,PROFISSIONAL,205236,2,0,38,EDUCAÇÃO,86,EDUCAÇÃO,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,PRODUÇÃO VEGETAL,ilhéus,28007018005P9,5,EM FUNCIONAMENTO,UESC,ACADÊMICO,407,1,0,42,CIÊNCIAS AGRÁRIAS I,60,AGRONOMIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
Mestrado/Doutorado,FILOSOFIA,salvador,28001010042P7,6,EM FUNCIONAMENTO,UFBA,ACADÊMICO,392,1,0,33,FILOSOFIA,68,FILOSOFIA,1,Educação Presencial,7,CIÊNCIAS HUMANAS
Mestrado/Doutorado,CIÊNCIAS AGRÁRIAS,Cruz das Almas,28022017001P5,4,EM FUNCIONAMENTO,UFRB,ACADÊMICO,202812,1,0,42,CIÊNCIAS AGRÁRIAS I,60,AGRONOMIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
Mestrado,Museologia,salvador,28001010093P0,3,EM FUNCIONAMENTO,UFBA,ACADÊMICO,205311,1,0,31,COMUNICAÇÃO E INFORMAÇÃO,62,MUSEOLOGIA,1,Educação Presencial,6,CIÊNCIAS SOCIAIS APLICADAS
Mestrado/Doutorado,"ALIMENTOS, NUTRIÇÃO E SAÚDE",salvador,28001010047P9,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,52224,1,0,50,NUTRIÇÃO,55,NUTRIÇÃO,1,Educação Presencial,4,CIÊNCIAS DA SAÚDE
Mestrado Profissional,Astronomia,Feira de Santana,28002016017P5,4,EM FUNCIONAMENTO,UEFS,PROFISSIONAL,205294,2,0,46,ENSINO,81,ENSINO,1,Educação Presencial,10,MULTIDISCIPLINAR
Mestrado/Doutorado,FÍSICA,salvador,28001010002P5,4,EM FUNCIONAMENTO,UFBA,ACADÊMICO,357,1,0,3,ASTRONOMIA / FÍSICA,15,FÍSICA,1,Educação Presencial,1,CIÊNCIAS EXATAS E DA TERRA
Mestrado/Doutorado,RECURSOS GENÉTICOS VEGETAIS,Cruz das Almas,28022017003P8,5,EM FUNCIONAMENTO,UFRB,ACADÊMICO,203776,1,1,42,CIÊNCIAS AGRÁRIAS I,60,AGRONOMIA,1,Educação Presencial,5,CIÊNCIAS AGRÁRIAS
